donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM21,AM,,ENSG00000006282,same,9981,10964,4399,3416,-0.31792243226160544,-0.4979000699008136
AM18,AM,,ENSG00000006283,different,13358,1357,898,13003,-2.046587098159899,0.8957634111211261
AM21,AM,,ENSG00000006283,same,13831,1799,538,12566,-2.902770265014582,1.092820058351736
AM18,AM,,ENSG00000006327,different,10366,10779,4013,3601,-0.3327792249809449,-0.2891407793827163
AM21,AM,,ENSG00000006327,same,11393,7748,2987,6632,-0.6108102069547057,0.002838691514070124
AM18,AM,,ENSG00000006432,different,7695,12751,6683,1629,0.01527815742496097,-0.6507715261681262
AM21,AM,,ENSG00000006432,same,6421,3988,7944,10383,0.03582919032127507,0.35585446418553013
AM18,AM,,ENSG00000006451,different,2391,2775,11989,11605,0.6162473302900944,0.3751350758845753
AM21,AM,,ENSG00000006451,same,2803,6002,11577,8378,0.661160722168253,0.21526668160970797
AM18,AM,,ENSG00000006453,different,9814,7209,4566,7171,-0.23387894160808775,-0.0048199053928450475
AM21,AM,,ENSG00000006453,same,6082,12005,8298,2374,0.07868466928307205,-0.8403361919505881
AM18,AM,,ENSG00000006459,different,985,2009,13395,12371,1.7052638877799375,0.5915540420546623
AM21,AM,,ENSG00000006459,same,8796,3248,5584,11132,-0.15012123504711283,0.5119736661028118
AM18,AM,,ENSG00000006530,different,1796,5309,12584,9071,0.8583393105681063,0.12128831216241753
AM21,AM,,ENSG00000006530,same,8631,6383,5749,7997,-0.1290053020866555,0.16917879308570072
AM18,AM,,ENSG00000006534,different,5617,10843,8763,3537,0.2213059766735892,-0.296889250991768
AM21,AM,,ENSG00000006534,same,10118,8658,4262,5722,-0.3430725538583337,-0.11640449025051858
AM18,AM,,ENSG00000006576,different,5800,3765,8580,10615,0.2023930078777436,0.23157025919037721
AM21,AM,,ENSG00000006576,same,10464,3926,3916,10454,-0.40486449856264883,0.36906000298479746
AM18,AM,,ENSG00000006607,different,7241,3913,7139,10467,0.06148118564287053,0.21634483963618312
AM21,AM,,ENSG00000006607,same,4540,9230,9840,5150,0.27109276273227323,-0.19344818477670422
AM18,AM,,ENSG00000006625,different,11834,9505,2546,4874,-0.6832390758925557,-0.1659289112851159
AM21,AM,,ENSG00000006625,same,2421,10473,11959,3907,0.8047545258850262,-0.39054054290060725
AM18,AM,,ENSG00000006634,different,3372,4710,11008,9520,0.4052713007725979,0.15879781695491957
AM21,AM,,ENSG00000006634,same,6189,5381,8191,8999,0.06512349711531273,0.30357718531847544
AM18,AM,,ENSG00000006652,different,1046,1992,13334,12388,1.6010114933006425,0.5958722474512932
AM21,AM,,ENSG00000006652,same,1239,840,13141,13540,1.8693680441825338,2.5344966827289506
AM18,AM,,ENSG00000006695,different,6754,8878,7625,5502,0.10739635941339287,-0.11612466707721403
AM21,AM,,ENSG00000006695,same,4958,12091,9422,2289,0.21386594314723162,-0.874331062074257
AM18,AM,,ENSG00000006704,different,13083,12561,1297,1819,-1.492099555779089,-0.5903940795445455
AM21,AM,,ENSG00000006704,same,11867,2547,2513,11833,-0.7565388473799723,0.7169043168322164
AM18,AM,,ENSG00000006712,different,5256,4166,9124,10214,0.26035738239070394,0.19075381261766733
AM21,AM,,ENSG00000006712,same,7888,8538,6492,5842,-0.04396100991206353,-0.0993577499377043
AM18,AM,,ENSG00000006715,different,6834,6924,7546,7456,0.10014008061889346,0.01293593658535297
AM21,AM,,ENSG00000006715,same,7889,9206,6491,5174,-0.043964951204900515,-0.19053524338797434
AM18,AM,,ENSG00000006740,different,13928,5719,449,8661,-3.33346824594806,0.0932094753273433
